,original_index,title,artist,date,week,comment,comment_index,total_comments_in_article,sentiment_label,sentiment_score
2803,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"quyenlaurieỞ nhà xem netflix, dành tg đó cafe tán gẫu hơn là xem mấy phim của TT. Nc ngoài xem phim truyền hình tôi ko thích phim việt hiện nay.",0,92,NEGATIVE,0.4936854839324951
2804,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"dinhnhatanh1812Thật ra thì phần lớn người đi xem phim TT không phải vì dễ dãi mà là họ không quan tâm đến nội dung phim hay dở ra sao,họ chỉ cuồng thần tượng,cứ có vài trai xinh gái đẹp diễn trong phim là kiểu gì họ cũng đến xem để ủng hộ.Còn 1 phần là vì tò mò,1 phần tặc lưỡi đi xem để theo kịp xu hướng và 1 phần đi xem để về có chuyện để chê...",1,92,NEUTRAL,0.9516072273254395
2805,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"ando.th2020Dở từ kịch bản, đạo diễn & diễn viên => phim việt !!!",2,92,POSITIVE,0.9561929702758789
2806,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,binhnhi2009Gặp chương trình nào có 1 trong 2 gương mặt: Trấn Thành hoặc Trường Giang là tôi chuyển kênh,3,92,POSITIVE,0.9997321963310242
2807,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"ninhbavinscNhưng không làm thì lại không có cái gì để chiếu thì cũng mất đi phim Việt trên sóng. Văn hóa sẽ giảm đi chút. Giờ phim Việt tôi thật sự ít xem. Nó mất bản sắc quá nhièu, pha quá nhiều văn hóa phim nước khác, ẻo lả đồng bóng kiểu Thái, la hét kiểu hàn, lãng mạn ướt át không cảm xúc.
Phim Việt giờ như 1 nồi lẩu thập cẩm lộn xộn mà không có 1 hương vị ngon gì cả.",4,92,NEGATIVE,0.9992409944534302
2808,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,BQTLâu lắm rồi tôi không xem phim Việt Nam và cũng chưa bao giờ có ý nghĩ bỏ 2 tiếng để xem phim Việt Nam. Chẳng phải vì định kiến hay gì cả mà chỉ là chất lượng phim rất tệ.,5,92,NEGATIVE,0.9973750114440918
2809,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,Phong TrươngHọ làm vậy cũng kiếm cả trăm tỷ lợi nhuận qua mấy bộ phim rồi. Còn gì tốt hơn nữa. Sau đó họ rút lui thôi. Làm kinh doanh chứ không phải làm ra bộ phim để đời (tư duy của họ là vậy).,6,92,POSITIVE,0.9993607401847839
2810,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,2jcq2mj6r8Phim vậy mà doanh thu nghìn tỷ tôi cũng k hiểu.,7,92,POSITIVE,0.9402704834938049
2811,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"bachsingle0808Tôi cũng đồng ý với tác giả là phim của Trấn Thành nhạt nhẽo, cười đùa vô duyên, lố. Khán giả đã quá dễ dãi rồi. Nhưng do cung chỉ có thế mà cầu ngày Tết tăng cao nên chất lượng bị xem nhẹ. Từ 2,3 năm nay tôi ko xem phim Trấn Thành rồi, hy vọng sang năm khán giả sẽ biết chọn lọc phim Tết để xem.",8,92,NEGATIVE,0.9594147205352783
2812,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"phil.tran2804Vấn đề nằm ở khán giả. Nếu khán giả có học thức, có gu, và không khoan nhượng với sự hài nhảm, hài rẻ tiền, nội dung hời hợt...thì thể loại phim này sẽ tuyệt chủng ngay.

Chẳng đạo diễn nào dại dột đi làm những thứ phim khi họ biết chắc khán giả không muốn xem.",9,92,NEGATIVE,0.9855944514274597
2813,1,Phép thử của Trấn Thành,Trấn Thành,2025-05-13 20:12:00,2025-05-12/2025-05-18,"daihung253Mở tivi có Trấn Thành, tui tắt ngay.",10,92,POSITIVE,0.9994257688522339
