Title,Date
Chào đời vào ngày đặc biệt - các em bé mang khai sinh độc đáo: Con trai Cục trưởng Xuân Bắc cũng không ngoại lệ,05-05-2025 - 09:33 AM
"Bộ phim khiến ai cũng phải cúi đầu cảm phục, tự hào trước sự hy sinh của những “bóng hồng bất tử”: Cục trưởng Xuân Bắc có vai “để đời”",29-04-2025 - 09:12 AM
Cục trưởng Nguyễn Xuân Bắc nói gì về việc nghệ sĩ quảng cáo thổi phồng sự thật?,16-04-2025 - 14:55 PM
Cục trưởng Cục Nghệ thuật biểu diễn Xuân Bắc dùng 5 từ để nói về bộ phim viral nhất hiện tại,03-04-2025 - 16:10 PM
Cục trưởng Xuân Bắc: Nghệ sĩ khi quảng cáo phải đặt trách nhiệm lên hàng đầu,26-03-2025 - 09:35 AM
NSND Tự Long: 'Tôi không thể diễn được với ai ngoài Xuân Bắc',11-03-2025 - 19:48 PM
Cục trưởng Xuân Bắc nói gì về Hòa Minzy mà gây bão mạng?,04-03-2025 - 14:22 PM
"Cục trưởng Xuân Bắc nhắn tin cho vợ, chỉ 1 câu đã cho thấy thái độ, tình cảm ra sao",26-02-2025 - 11:06 AM
"Bà xã Cục trưởng Xuân Bắc đăng ảnh khoe dáng nuột nà, cuốn hút",22-02-2025 - 08:33 AM
"Sao nam hot nhất Táo Quân 2025: Gây sốt khắp MXH vì diễn quá đỉnh, càng xem càng nhớ Xuân Bắc - Công Lý",29-01-2025 - 10:40 AM
"Người thay thế nghệ sĩ Xuân Bắc trong Táo Quân: Đi thi đại học bị xem thường vì quá xấu, áp lực đến nỗi ""trượt thẳng cẳng""",16-01-2025 - 10:45 AM
"Cục trưởng Xuân Bắc: Tránh tổ chức liên hoan ồ ạt để săn huy chương, dẫn đến rẻ rúng danh hiệu",12-01-2025 - 16:36 PM
"Diễn viên thay Xuân Bắc đóng Táo quân, từng áp lực đến mức không ăn nổi là ai?",09-01-2025 - 09:30 AM
Cục trưởng Xuân Bắc đăng status dài gần 100 chữ về Giám đốc Nhà hát Chèo Quân đội,02-01-2025 - 08:20 AM
Cục trưởng Cục Nghệ thuật biểu diễn Xuân Bắc nói về hiệu quả kinh tế hai show anh trai,01-01-2025 - 09:38 AM
"NSND Xuân Bắc: 2 tháng làm Cục trưởng, tôi vẫn nhớ nghề diễn",31-12-2024 - 21:33 PM
"Tổng Bí thư Tô Lâm gặp gỡ nhiều văn nghệ sĩ: NSND Xuân Bắc, NSƯT Quyền Linh, Lý Hải, HIEUTHUHAI...",31-12-2024 - 07:38 AM
"Cục trưởng, NSND Xuân Bắc: “Tôi ghen tị với Anh Thơ nên quên sạch”",30-12-2024 - 19:03 PM
Cục trưởng Cục Nghệ thuật Biểu diễn - NSND Xuân Bắc đóng Táo Quân 2025,30-12-2024 - 11:40 AM
"Chỉ một bức ảnh ""mờ ám"" với Tự Long, Xuân Bắc đã khiến cõi mạng rần rần vì điều này",29-12-2024 - 09:06 AM
"NSND Xuân Bắc, NSND Công Lý không đóng Táo Quân 2025",27-12-2024 - 10:48 AM
"NSND Tự Long: ""Cục trưởng Xuân Bắc tới xem nghệ sĩ nhà nước và tự do gắn kết nhau thế nào""",14-12-2024 - 15:56 PM
"Camera bắt được cảnh NS Tự Long nói 1 câu gây choáng với NS Xuân Bắc, dân mạng không tin nổi vào tai mình",14-12-2024 - 15:33 PM
Cục trưởng Xuân Bắc gặp sự cố trước giờ diễn,20-11-2024 - 14:22 PM
"Là Cục trưởng nhưng NSND Xuân Bắc vẫn kính nể, cúi đầu trước một người",15-11-2024 - 08:50 AM
Người tạm thay NSND Xuân Bắc điều hành Nhà hát Kịch Việt Nam,09-11-2024 - 11:02 AM
"NSND Xuân Bắc thẳng thắn giải đáp câu hỏi ""lên làm Cục trưởng có còn diễn hài không?""",07-11-2024 - 15:51 PM
"Động thái của NSND Xuân Bắc sau khi lên chức Cục trưởng, nhiều nghệ sĩ vào động viên",07-11-2024 - 09:35 AM
"Những bữa ""cơm nguội"" bình dị lúc nửa đêm của NSND Xuân Bắc",02-11-2024 - 15:13 PM
Xuân Bắc: Hành trình từ diễn viên trở thành Cục trưởng Cục Nghệ thuật biểu diễn,31-10-2024 - 17:45 PM
Ai thay thế vị trí giám đốc của NSND Xuân Bắc ở Nhà hát Kịch Việt Nam?,31-10-2024 - 14:25 PM
"NSND Xuân Bắc được bổ nhiệm Cục trưởng Nghệ thuật biểu diễn, NSND Tự Long chúc mừng bạn thân",30-10-2024 - 16:45 PM
"NSND Xuân Bắc nói về ""đại gia ngầm đất Bắc"": Diễn tốt là anh cho thêm 50 nghìn đồng",03-10-2024 - 08:29 AM
"NSND Xuân Bắc nói thẳng với Anh Thơ: ""Thơ có thể khinh Bắc nhưng đừng bao giờ coi thường Bắc""",01-10-2024 - 10:10 AM
"Được bạn bè khen ""khéo dạy con"" khi có hành động ý nghĩa sau cơn bão, Xuân Bắc trả lời 2 câu nhận đồng tình",13-09-2024 - 10:08 AM
NSND Xuân Bắc cùng 2 con trai hỗ trợ dọn cây đổ trên phố sau bão Yagi,09-09-2024 - 07:10 AM
Sự thật ‘cú bắt tay’ của tỷ phú Phạm Nhật Vượng và NSND Xuân Bắc trị giá 2 triệu USD,16-08-2024 - 21:30 PM
Tin nhắn xin phép đi chơi của con trai Xuân Bắc khiến dân tình cười ngặt nghẽo: Đúng con nhà nòi!,13-06-2024 - 15:10 PM
"Bi Béo thi vào lớp 10, vợ Xuân Bắc có động thái được khen dạy con khéo: Đây là điều cha mẹ PHẢI làm khi con thi không tốt",10-06-2024 - 09:27 AM
"Con trai Xuân Bắc lớn phổng phao, liên tục ""tấu hề"" khi đi thi tuyển vào lớp 10",09-06-2024 - 20:28 PM
"Xuân Bắc cho 2 ''quý tử'' theo học tại 1 trường song ngữ có học phí bất ngờ, khuôn viên rộng tới 30.000m2 lại xanh - sạch - đẹp nhất nhì miền Bắc",30-04-2024 - 00:10 AM
"Quên hình ảnh hài hước đi, Bi béo nhà Xuân Bắc giờ cực chững chạc, tự tin hùng biện ở trường học như này đây!",27-04-2024 - 21:05 PM
"Xuân Bắc đưa con trai đến thăm Công Lý, phản ứng của ""cô Đẩu"" khiến bà xã bật cười",07-02-2024 - 16:48 PM
"""Nam Tào"" thay thế Xuân Bắc có con gái mới 7 tuổi đã gây sốt: Tiết lộ 1 câu biết ngay dạy con quá khéo",05-02-2024 - 19:00 PM
"Xuân Bắc nói lý do không đi xem ghi hình Táo Quân, Chí Trung có động thái này với dàn diễn viên mới",02-02-2024 - 07:22 AM
"Gala Human Act Prize 2023: Nghệ sĩ Xuân Bắc chia sẻ xúc động, Giám đốc điều hành quỹ VinFuture và CMO One Mount cũng góp mặt",12-12-2023 - 10:26 AM
"Nghệ sĩ Xuân Bắc xuất hiện trên thảm đỏ: ""Được mời tham dự Gala Human Act Prize 2023 tôi thích lắm""",11-12-2023 - 22:28 PM
Hành trình trở thành NSND của ‘anh Núi’ Xuân Bắc,06-12-2023 - 16:24 PM
"NSƯT Thanh Lam, Xuân Bắc được phong tặng danh hiệu NSND",06-12-2023 - 09:47 AM
"Sau bạn thân Tự Long, Xuân Bắc sắp được phong NSND ở tuổi 47",05-12-2023 - 15:55 PM
NSƯT Xuân Bắc “thi chạy” cùng hơn 1.000 vận động viên để gây quỹ vì trẻ em thiệt thòi,21-10-2023 - 15:08 PM
NSƯT Xuân Bắc làm MC không thù lao cho chương trình thiện nguyện,12-10-2023 - 08:25 AM
Xuân Bắc ngỡ ngàng khi gặp 'fan cuồng' có gia thế đặc biệt,12-09-2023 - 22:53 PM
"Kiểm tra bài tập của Bi Béo, Xuân Bắc làm 1 điều không phải ai làm được, netizen khen ""quá tâm lý""",11-09-2023 - 22:40 PM
"Nhóc tỳ nhà sao Việt nô nức đi khai giảng: Xoài chuẩn soái ca, con Xuân Bắc không còn ""chán đời"", lột xác bất ngờ!",05-09-2023 - 20:08 PM
"Bên trong biệt phủ tiền tỷ của Xuân Bắc: Không gian sống an yên, chiếm ""spotlight"" là sân vườn quanh năm hoa trái sai trĩu mọc",30-08-2023 - 05:24 AM
"Ngỡ ngàng trước diện mạo hiện tại của quý tử nhà Xuân Bắc: Đã giảm cân, dậy thì quá thành công",23-08-2023 - 21:45 PM
"Xu hướng làm nhà theo phong cách ""resort tại gia"" gọi tên Xuân Bắc, Mạnh Trường, ca nương Kiều Anh",13-08-2023 - 19:45 PM
"Đi công tác về thì phát hiện con trai cưng làm chết bể cá Koi đắt tiền, Xuân Bắc có phản ứng bất ngờ",20-03-2023 - 07:17 AM
"Diện mạo mới thay đổi chóng mặt của Bi Béo khiến bà xã Xuân Bắc phải thốt lên ""không nhận ra"": Bi đã khác ngày xưa lắm rồi!",31-01-2023 - 21:27 PM
"Xuân Bắc và những lần vướng rắc rối, tranh cãi trên mạng xã hội",31-01-2023 - 10:54 AM
"Nghệ sĩ Xuân Bắc xin lỗi khán giả về bài viết ""Cái tát của mẹ""",27-01-2023 - 21:55 PM
"Bộ VH,TT&DL: ""Nếu Xuân Bắc có vi phạm thì sẽ xử lý""",27-01-2023 - 16:56 PM
Dàn 'Táo Quân' đang làm gì giữa lúc Xuân Bắc gặp lùm xùm?,27-01-2023 - 14:58 PM
Cục Nghệ thuật Biểu diễn nói gì sau phát ngôn ẩn ý của Xuân Bắc với khán giả?,27-01-2023 - 07:39 AM
NSƯT Xuân Bắc vẫn giữ một thái độ dù gây tranh cãi về phát ngôn mắng khán giả chê 'Táo Quân',25-01-2023 - 21:13 PM
"Xuân Bắc ẩn ý mắng khán giả 'Ăn cháo đá bát': Phát ngôn kiêu ngạo, dễ gây phản cảm và cần xin lỗi",25-01-2023 - 19:59 PM
Xuân Bắc mắng người chê Táo quân: Cú tát vào mặt khán giả!,25-01-2023 - 13:54 PM
"Phản ứng của Xuân Bắc khi có khán giả nhắn tin: ""Táo Quân năm nay chán!""",22-01-2023 - 21:33 PM
"NSƯT Xuân Bắc: “Tôi không nghĩ Táo Quân kéo dài 20 năm, được yêu thích đến thế, dù đôi lúc tôi bị chê mở tivi thấy mặt ông này là muốn tắt”",22-01-2023 - 15:03 PM
Vợ NSND Công Lý tiết lộ hành động hài hước nhưng cực đáng yêu của NSƯT Xuân Bắc khi sang nhà thăm bạn,20-01-2023 - 12:04 PM
"Người đứng sau tạo hình Công Lý, Xuân Bắc trong Táo Quân",13-01-2023 - 11:07 AM
"Lâu lắm mới xuất hiện nhưng Bi Béo nhà Xuân Bắc lại gây bất ngờ với vẻ ngoài khác lạ, đến mẹ ruột cũng ngạc nhiên!",15-11-2022 - 09:41 AM
NSND Tự Long: Tôi với Xuân Bắc trên 20 năm nay vẫn nhịn nhau để cùng diễn cùng làm nghề,14-08-2022 - 19:10 PM
"Gần 30 năm tình bạn tri kỷ của Xuân Bắc-Tự Long, kết hợp ăn ý trên mọi mặt trận",03-08-2022 - 22:01 PM
Câu chuyện mới và diện mạo mới của Xuân Bắc – XUANBAC HO’OP Furniture,19-07-2022 - 19:30 PM
Xuân Bắc khoe ảnh Minh Bủm chuẩn bị thi vào lớp 10 nhưng có 1 CHI TIẾT khiến ai nấy nể danh hài cách dạy con,18-06-2022 - 12:25 PM
"Chỉ 1 bình luận với người hâm mộ, Xuân Bắc lộ cách dạy con khiến nhiều người phải nể phục: Nghiêm khắc nhưng rất tinh tế",11-05-2022 - 16:14 PM
"Số phận đời thực trái ngược của Nam Tào (Xuân Bắc)- Bắc Đẩu (NSND Công Lý): Người ở biệt phủ, người sống cảnh thuê nhà",07-04-2022 - 22:15 PM
"Xuân Bắc - Tự Long: Từ đôi bạn cùng tiến đến 2 ""ông chú bụng phệ"" đắt giá của showbiz Việt",05-04-2022 - 10:22 AM
"Bi béo được bố Xuân Bắc cho ""lên sóng"" sau vụ lùm xùm: Cậu bé làm gì mà dân tình phải khen ông bố nổi tiếng dạy con thật ý nghĩa",29-03-2022 - 20:20 PM
Xuân Bắc: Làm cha mẹ mà áp đặt tiêu cực cho con thì tôi chỉ mong có bàn tay vô hình vả vào mặt cho sưng vù,19-03-2022 - 19:46 PM
"NS Xuân Bắc tiết lộ tình trạng của 2 con trai sau khi bị mẹ phạt, đăng công khai hình nhạy cảm trên Facebook",19-03-2022 - 15:25 PM
"Sau vụ lùm xùm gây bão MXH, Xuân Bắc chính thức lên tiếng về cách giáo dục con của vợ",19-03-2022 - 14:22 PM
"Không gian sống an yên, gần gũi thiên nhiên của nghệ sĩ Việt: Từ biệt phủ như resort của Xuân Bắc tới biệt thự nhà vườn 10.000m2 của diva Mỹ Linh, tất cả đều ""sặc mùi tiền""",15-03-2022 - 16:11 PM
"Bà xã Xuân Bắc: Xuất thân tiểu thư Hà Thành, thu nhập trăm triệu, còn là Giảng viên 1 trường có tiếng, không ít thị phi khiến chồng cư xử thế nào?",15-03-2022 - 10:20 AM
"Bà xã NSƯT Xuân Bắc lên tiếng: ""Tôi cảnh báo chứ không lên án ai""",14-03-2022 - 22:53 PM
Vợ Xuân Bắc đập điện thoại của con: Cha mẹ có đang xâm phạm quyền riêng tư?,14-03-2022 - 21:12 PM
NS Xuân Bắc có động thái đầu tiên trên MXH sau ồn ào vợ phạt con gây xôn xao dư luận,14-03-2022 - 16:14 PM
Lộ tin nhắn vợ Xuân Bắc tiết lộ tình trạng con trai sau thông tin gây tranh cãi,14-03-2022 - 13:56 PM
"3 điểm đáng bàn trong bài đăng phạt con của vợ Xuân Bắc: Chia sẻ ảnh 18+ riêng tư, cho rằng để ava hoạt hình là thiếu ""văn minh""",14-03-2022 - 13:54 PM
"Từ vụ vợ Xuân Bắc phát hiện con tham gia nhóm chat ""nhạy cảm"": CHUYÊN GIA cảnh báo 1 hành động có thể khiến trẻ suy sụp, rất khó chữa lành",14-03-2022 - 09:16 AM
"Không gian bình yên ở biệt phủ của Xuân Bắc: Rộng cả ngàn mét vuông, tách biệt với xô bồ phố thị, cỏ cây, ao cá, hoa lá ngập tràn",14-03-2022 - 08:05 AM
"Phụ huynh, giáo viên nói về cách vợ Xuân Bắc ném điện thoại, phạt con khi có hình 18+ trên Facebook: ""Tội nhất đứa trẻ bị bạn bè trêu chọc!""",14-03-2022 - 07:42 AM
"Netizen đồng loạt phản đối chuyện vợ Xuân Bắc ném điện thoại, công khai toàn bộ nội dung nhạy cảm trong Facebook của con",14-03-2022 - 07:35 AM
Vợ Xuân Bắc khoe thiệp 8/3: Hé lộ CHI TIẾT khiến dân mạng cười sảng nhưng lại nhận được lời khen bởi cách dạy con TUYỆT VỜI,09-03-2022 - 20:59 PM
"Xuân Bắc nhiễm Covid-19, Tự Long làm ngay 1 việc gây bão mạng",05-03-2022 - 09:06 AM
Xuân Bắc & Công Lý đang làm gì khi Táo Quân 2022 lên sóng?,31-01-2022 - 23:09 PM
"Không quay Táo Quân 2022, Xuân Bắc bất ngờ tự làm luôn show Táo của chính mình!",31-01-2022 - 15:41 PM
"Không đóng Táo Quân, Xuân Bắc nói gì với Đỗ Duy Nam - Trung Ruồi mà khiến ai cũng thán phục vì quá tâm lý",21-01-2022 - 17:31 PM
