Title,Date
Chào đời vào ngày đặc biệt - các em bé mang tên khai sinh độc đáo: Con trai Cục trưởng Xuân Bắc cũng không ngoại lệ,2025-05-05T08:04:00
"Bộ phim khiến ai cũng phải cúi đầu cảm phục, tự hào trước sự hy sinh của những “bóng hồng bất tử”: Cục trưởng Xuân Bắc có vai “để đời”",2025-04-28T21:36:00
Cục trưởng Nguyễn Xuân Bắc nói gì về việc nghệ sĩ quảng cáo thổi phồng sự thật?,2025-04-16T14:36:00
Cục trưởng Cục Nghệ thuật biểu diễn Xuân Bắc dùng 5 từ để nói về bộ phim viral nhất hiện tại,2025-04-03T14:09:00
Cục trưởng Xuân Bắc: Nghệ sĩ khi quảng cáo phải đặt trách nhiệm lên hàng đầu,2025-03-26T09:32:00
"NSND Tự Long: ""Tôi không thể diễn được với ai ngoài Xuân Bắc""",2025-03-11T18:37:00
"NSND Xuân Bắc: ""Nghệ thuật truyền thống mang nhiều tính nguyên bản hơn trình diễn""",2025-03-07T16:08:00
Cục trưởng Xuân Bắc nói gì về Hòa Minzy mà gây bão mạng?,2025-03-04T11:15:00
"Cục trưởng Xuân Bắc nhắn tin cho vợ, chỉ 1 câu đã cho thấy thái độ, tình cảm ra sao",2025-02-26T21:45:00
Táo Quân 2025: Phát ngôn đầu tiên của sao nam đóng thay vai của Xuân Bắc - Công Lý,2025-01-29T17:01:00
"Sao nam hot nhất Táo Quân 2025: Gây sốt khắp MXH vì diễn quá đỉnh, càng xem càng nhớ Xuân Bắc - Công Lý",2025-01-29T04:15:00
"Cục trưởng Xuân Bắc: Tránh tổ chức liên hoan ồ ạt để săn huy chương, dẫn đến rẻ rúng danh hiệu",2025-01-12T09:31:00
"Diễn viên thay Xuân Bắc đóng Táo quân, từng áp lực đến mức không ăn nổi là ai?",2025-01-09T08:14:00
Cục trưởng Xuân Bắc đăng status dài gần 100 chữ về Giám đốc Nhà hát Chèo Quân đội,2025-01-02T08:36:00
Cục trưởng Cục Nghệ thuật biểu diễn Xuân Bắc nói về hiệu quả kinh tế hai show anh trai,2025-01-01T06:44:18
"NSND Xuân Bắc: 2 tháng làm Cục trưởng, tôi vẫn nhớ nghề diễn",2024-12-31T22:00:00
"Tổng Bí thư Tô Lâm gặp gỡ nhiều văn nghệ sĩ: NSND Xuân Bắc, NSƯT Quyền Linh, Lý Hải, HIEUTHUHAI...",2024-12-30T23:03:00
Cục trưởng Cục Nghệ thuật Biểu diễn - NSND Xuân Bắc đóng Táo Quân 2025,2024-12-30T11:03:00
"Chỉ một bức ảnh ""mờ ám"" với Tự Long, Xuân Bắc đã khiến cõi mạng rần rần vì điều này",2024-12-28T22:10:00
"NSND Xuân Bắc, NSND Công Lý không đóng Táo Quân 2025",2024-12-27T12:30:00
Xót xa hình ảnh cụ ông bị bỏng trong vụ cháy tại khu tập thể Thanh Xuân Bắc đêm qua,2024-12-19T16:50:00
"Camera bắt được cảnh NS Tự Long nói 1 câu gây choáng với NS Xuân Bắc, dân mạng không tin nổi vào tai mình",2024-12-14T14:24:00
"NSND Tự Long: ""Cục trưởng Xuân Bắc tới xem nghệ sĩ nhà nước và tự do gắn kết nhau thế nào""",2024-12-14T14:04:00
"NSND Xuân Bắc muốn tham gia show Chông Gai, khẳng định “chưa bao giờ có chương trình ảnh hưởng xã hội tốt và tích cực thế này”",2024-12-13T22:30:00
"Nghệ sĩ Xuân Bắc xuất hiện ở sân khấu Anh Trai Say Hi, 30 anh trai duyệt chương trình đến 4h sáng",2024-12-07T10:55:00
Cục trưởng Xuân Bắc gặp sự cố trước giờ diễn,2024-11-20T13:36:00
"Là Cục trưởng nhưng NSND Xuân Bắc vẫn kính nể, cúi đầu trước một người",2024-11-14T22:33:00
Bất ngờ trước diện mạo của Bi Béo - con trai NSND Xuân Bắc,2024-11-09T20:00:00
"NSND Xuân Bắc thẳng thắn giải đáp câu hỏi ""lên làm Cục trưởng có còn diễn hài không?""",2024-11-07T18:07:00
NSƯT Kiều Minh Hiếu thay thế vị trí giám đốc của NSND Xuân Bắc,2024-11-07T17:46:00
"Động thái của NSND Xuân Bắc sau khi lên chức Cục trưởng, nhiều nghệ sĩ vào động viên",2024-11-07T08:35:00
"Những bữa ""cơm nguội"" bình dị lúc nửa đêm của NSND Xuân Bắc",2024-11-02T13:33:00
Xuân Bắc: Hành trình từ diễn viên trở thành Cục trưởng Cục Nghệ thuật biểu diễn,2024-10-31T17:32:00
Ai thay thế vị trí giám đốc của NSND Xuân Bắc ở Nhà hát Kịch Việt Nam?,2024-10-31T11:20:00
"Nhiều sao Việt bày tỏ niềm vui, chúc mừng NSND Xuân Bắc làm Cục trưởng Cục Nghệ thuật biểu diễn",2024-10-30T22:22:00
NSND Xuân Bắc được bổ nhiệm làm Cục trưởng Cục Nghệ thuật biểu diễn,2024-10-30T17:10:00
"Xuân Hinh nói về Xuân Bắc, Tự Long: ""Không biết bọn trẻ nó chiều mình hay mình đi hầu chúng đây""",2024-10-27T21:32:00
"NSND Xuân Bắc nói về ""đại gia ngầm đất Bắc"": Diễn tốt là anh cho thêm 50 nghìn đồng",2024-10-03T10:42:00
"NSND Xuân Bắc mê cách Tuấn Hưng - Duy Mạnh kết đoàn, khán giả “dụ” làm show với 1 Anh Tài ""đỉnh nóc kịch trần""",2024-09-23T21:19:00
"Được bạn bè khen ""khéo dạy con"" khi có hành động ý nghĩa sau cơn bão, Xuân Bắc trả lời 2 câu nhận đồng tình",2024-09-13T09:42:00
NSND Xuân Bắc cùng 2 con trai hỗ trợ dọn cây đổ trên phố sau bão Yagi,2024-09-09T00:03:00
"Xuân Bắc cùng 2 con trai đi dọn dẹp khu phố sau bão Yagi, Bi Béo ""chốt"" 1 câu đúng chất ""meme""",2024-09-08T20:16:00
Nghệ sĩ Xuân Bắc bị kẻ xấu mạo danh để lừa đảo,2024-08-26T11:46:00
NSND Xuân Bắc tiễn đưa nghệ sĩ Hữu Độ,2024-08-16T18:33:00
"NSND Tự Long, Xuân Bắc và dàn nghệ sĩ tiễn đưa NSƯT Bùi Phương Nga",2024-07-19T17:07:00
"Tự Long thi ""Anh trai vượt ngàn chông gai"", Xuân Bắc nhắn: Đừng để tôi nóng mắt",2024-07-02T19:35:57
"Xuân Bắc xưng hô ""tao"" với Tự Long còn nói thẳng điều này",2024-07-01T22:35:07
"Bi Béo thi vào lớp 10, vợ Xuân Bắc có động thái được khen dạy con khéo: Đây là điều cha mẹ PHẢI làm khi con thi không tốt",2024-06-10T06:16:00
